Respondent_ID,Employment_Status,Highest_Education_Level,Age_Group,Current_City_Residence,Monthly_Household_Income_Range_XAF,Household_Size_Supported,Bulk_Food_Purchase_Frequency,Percentage_Income_To_Food,Reduced_Food_Quality_Quantity,Monthly_Food_Spend_XAF,Estimated_Food_Bill_Increase_Percent,Most_Dramatic_Increased_Food_Item,Monthly_Transport_Spend_XAF,Fuel_Prices_Increased_Transport_Cost,Primary_Transportation_Mode,Paid_Transport_Trips_Per_Week,Estimated_5Yr_Transport_Fare_Increase_Percent,Times_Moved_Due_To_Rent,Frequent_Power_Cuts_Extra_Spend,Percentage_Income_To_Rent,Monthly_Rent_XAF,Monthly_Utilities_Combined_XAF,Rent_Increased_Last_2_Years,Skipped_Medical_Treatment_Cost,Schooling_Cost_Increased_3Yrs,Has_Health_Insurance,Average_Monthly_Healthcare_Spend_XAF,School_Fees_Per_Child_Per_Term_XAF,Highest_Burden_Expenditure_Category,Expect_Cost_Of_Living_Increase_5Yrs,Taken_Coping_Measures,Primary_Contributor_To_Cost_Of_Living,Year_Noticeable_Impact
RESP_0444,Student,Secondary School,25-34,Douala,"Above 1,000,000 XAF",8,Never,41% - 60%,Yes,364348,56,Bread,99801,Yes,Shared Taxi,14,17,2,Yes,21%,160361,13123,No,No,Yes,No,24869,150000,Food,Yes,No,Global market crisis / Import costs,2020
RESP_0445,Student,Bachelor's Degree,35-44,Maroua,"100,001 - 250,000 XAF",7,Never,Under 20%,Yes,100774,26,Bread,32526,Yes,Moto-taxi,8,38,3+,Yes,25%,46140,29898,Yes,No,No,No,24049,50000,Utilities (Water/Electricity),No,Yes,Local currency depreciation,2024
RESP_0446,Unemployed,Bachelor's Degree,35-44,Maroua,"50,000 - 100,000 XAF",4,Sometimes,41% - 60%,Yes,22668,55,Cooking Oil,8705,Yes,Shared Taxi,8,78,2,No,0%,0,28341,Yes,No,Yes,No,33165,25000,Food,Yes,Yes,Local currency depreciation,2021
RESP_0447,Employed part-time,High School / Baccalauréat,25-34,Garoua,"100,001 - 250,000 XAF",7,Often,Above 60%,Yes,89686,44,Meat/Fish,40921,Yes,Bus / Coaster,2,84,1,Yes,30%,54855,26738,No,No,Yes,No,20817,0,Utilities (Water/Electricity),Yes,No,Global market crisis / Import costs,2023
RESP_0448,Student,High School / Baccalauréat,18-24,Maroua,"50,000 - 100,000 XAF",8,Sometimes,20% - 40%,No,36276,86,Onions/Tomato,10616,Yes,Personal Car,13,67,0,No,44%,33387,19907,Yes,Yes,Yes,No,43566,50000,Utilities (Water/Electricity),No,No,Government taxes,2025
RESP_0449,Employed full-time,Secondary School,25-34,Yaoundé,"Under 50,000 XAF",5,Often,41% - 60%,Yes,16313,74,Cooking Oil,5027,Yes,Personal Car,2,79,0,No,41%,16775,21873,Yes,Yes,Yes,No,49074,50000,Food,Yes,Yes,Local currency depreciation,2021
RESP_0450,Employed part-time,Secondary School,35-44,Maroua,"500,001 - 1,000,000 XAF",3,Sometimes,Above 60%,Yes,244730,126,Plantains/Cassava,125108,Yes,Moto-taxi,13,44,2,Yes,0%,0,8829,Yes,Yes,Yes,No,41390,0,Food,Yes,Yes,Climate change / Poor harvests,2024
RESP_0451,Employed full-time,High School / Baccalauréat,45-54,Kribi,"Under 50,000 XAF",7,Sometimes,41% - 60%,Yes,19406,97,Onions/Tomato,9742,Yes,Personal Car,3,82,3+,No,35%,14002,7918,No,Yes,Yes,No,20758,350000,Transportation,No,Yes,Global market crisis / Import costs,2020
RESP_0452,Unemployed,PhD / Doctorate,25-34,Yaoundé,"250,001 - 500,000 XAF",6,Never,Under 20%,Yes,151890,45,Plantains/Cassava,41750,Yes,Shared Taxi,3,46,0,Yes,41%,143976,14738,Yes,No,No,No,37251,350000,Housing/Rent,Yes,Yes,Climate change / Poor harvests,2020
RESP_0453,Self-employed/Entrepreneur,Secondary School,25-34,Garoua,"Under 50,000 XAF",4,Often,Under 20%,No,14563,31,Cooking Oil,8988,Yes,Bus / Coaster,9,94,1,Yes,28%,11483,34391,No,Yes,Yes,Yes,32061,350000,Healthcare,Yes,Yes,Fuel price hikes,2024
RESP_0454,Employed part-time,Master's Degree,45-54,Maroua,"500,001 - 1,000,000 XAF",2,Often,41% - 60%,Yes,295561,144,Bread,169898,Yes,Shared Taxi,3,55,2,Yes,39%,296075,25562,No,Yes,Yes,No,27650,0,Transportation,Yes,Yes,Government taxes,2022
RESP_0455,Employed part-time,Primary School,45-54,Kribi,"250,001 - 500,000 XAF",3,Often,Above 60%,No,145688,25,Rice,79792,Yes,Shared Taxi,12,83,3+,Yes,22%,80477,16012,Yes,No,No,No,27729,0,Transportation,Yes,No,Government taxes,2022
RESP_0456,Student,Bachelor's Degree,45-54,Kribi,"50,000 - 100,000 XAF",4,Always,Above 60%,No,27008,139,Bread,18110,Yes,Personal Car,12,72,0,Yes,32%,24119,19907,No,No,Yes,No,35183,0,Food,Yes,No,Climate change / Poor harvests,2023
RESP_0457,Student,Master's Degree,35-44,Bamenda,"Under 50,000 XAF",1,Sometimes,Under 20%,Yes,22597,92,Onions/Tomato,6840,Yes,Moto-taxi,2,58,0,Yes,43%,17383,28565,Yes,No,Yes,No,12158,0,Transportation,Yes,No,Fuel price hikes,2022
RESP_0458,Self-employed/Entrepreneur,Bachelor's Degree,35-44,Maroua,"500,001 - 1,000,000 XAF",3,Rarely,Above 60%,Yes,254241,33,Meat/Fish,147374,Yes,Personal Car,12,84,0,Yes,34%,255232,5807,No,Yes,No,No,11420,0,Education,No,Yes,Government taxes,2025
RESP_0459,Student,Master's Degree,18-24,Douala,"500,001 - 1,000,000 XAF",4,Never,20% - 40%,Yes,436482,136,Bread,107370,Yes,Moto-taxi,7,88,0,No,23%,176115,19881,Yes,Yes,No,Yes,31434,0,Transportation,Yes,No,Local currency depreciation,2022
RESP_0460,Unemployed,High School / Baccalauréat,55+,Kribi,"Under 50,000 XAF",6,Always,Above 60%,Yes,23173,122,Onions/Tomato,5206,Yes,Bus / Coaster,13,29,0,Yes,43%,17323,15459,No,No,Yes,No,26016,0,Transportation,Yes,Yes,Fuel price hikes,2022
RESP_0461,Employed full-time,Primary School,45-54,Douala,"50,000 - 100,000 XAF",4,Always,41% - 60%,No,35252,141,Rice,8482,Yes,Shared Taxi,11,30,3+,Yes,30%,23044,11523,No,No,Yes,Yes,5025,350000,Healthcare,Yes,No,Global market crisis / Import costs,2022
RESP_0462,Employed full-time,Secondary School,45-54,Yaoundé,"Above 1,000,000 XAF",2,Sometimes,20% - 40%,Yes,368666,31,Cooking Oil,143577,No,Bus / Coaster,7,84,2,Yes,30%,225721,27627,Yes,Yes,Yes,No,49448,0,Education,Unsure,No,Local currency depreciation,2025
RESP_0463,Student,Bachelor's Degree,55+,Bamenda,"Under 50,000 XAF",6,Often,Under 20%,No,15102,146,Rice,4458,Yes,Shared Taxi,9,51,2,Yes,27%,11043,5968,No,Yes,Yes,No,41075,0,Healthcare,Yes,Yes,Local currency depreciation,2024
RESP_0464,Employed part-time,Master's Degree,55+,Maroua,"250,001 - 500,000 XAF",2,Rarely,20% - 40%,Yes,114852,36,Rice,66358,Yes,Shared Taxi,11,54,0,Yes,42%,147213,34816,No,Yes,Yes,No,39678,350000,Housing/Rent,Yes,No,Climate change / Poor harvests,2022
RESP_0465,Student,Secondary School,25-34,Garoua,"250,001 - 500,000 XAF",2,Rarely,Above 60%,Yes,161964,110,Meat/Fish,76175,Yes,Personal Car,7,16,1,Yes,20%,72305,24645,Yes,No,Yes,No,33438,0,Food,Yes,No,Government taxes,2020
RESP_0466,Retired,Bachelor's Degree,25-34,Bafoussam,"50,000 - 100,000 XAF",4,Rarely,20% - 40%,Yes,22503,51,Meat/Fish,18036,Yes,Personal Car,8,22,0,No,38%,29157,31089,Yes,Yes,Yes,No,15469,350000,Housing/Rent,Yes,No,Climate change / Poor harvests,2023
RESP_0467,Retired,Secondary School,55+,Kribi,"100,001 - 250,000 XAF",6,Never,41% - 60%,No,63589,76,Onions/Tomato,42776,Yes,Personal Car,14,22,2,Yes,41%,73918,16734,No,No,Yes,No,26038,0,Housing/Rent,Yes,No,Local currency depreciation,2020
RESP_0468,Employed full-time,Master's Degree,45-54,Maroua,"50,000 - 100,000 XAF",4,Sometimes,20% - 40%,Yes,30375,97,Rice,16588,Yes,Bus / Coaster,11,33,2,Yes,41%,31107,8644,Yes,Yes,Yes,No,42634,150000,Education,Yes,Yes,Fuel price hikes,2025
RESP_0469,Self-employed/Entrepreneur,Secondary School,45-54,Douala,"Under 50,000 XAF",2,Sometimes,41% - 60%,Yes,16730,136,Onions/Tomato,9714,Yes,Personal Car,11,42,2,Yes,22%,9075,23795,Yes,No,Yes,No,46360,600000,Food,Unsure,No,Climate change / Poor harvests,2023
RESP_0470,Unemployed,Bachelor's Degree,25-34,Buea,"100,001 - 250,000 XAF",6,Often,41% - 60%,Yes,93983,147,Cooking Oil,34574,Yes,Bus / Coaster,12,37,0,No,33%,60760,31608,Yes,No,No,No,29645,25000,Education,Yes,Yes,Global market crisis / Import costs,2023
RESP_0471,Employed full-time,Primary School,35-44,Kribi,"Under 50,000 XAF",4,Always,Above 60%,No,19807,91,Meat/Fish,5005,Yes,Shared Taxi,14,69,2,No,26%,10565,15827,No,No,Yes,No,35454,150000,Healthcare,Yes,No,Fuel price hikes,2024
RESP_0472,Student,Secondary School,18-24,Kribi,"50,000 - 100,000 XAF",1,Never,Under 20%,Yes,22951,131,Cooking Oil,11177,Yes,Shared Taxi,11,86,0,Yes,0%,0,12115,No,Yes,No,No,39587,0,Transportation,Yes,Yes,Fuel price hikes,2020
RESP_0473,Retired,Secondary School,55+,Douala,"500,001 - 1,000,000 XAF",7,Always,Under 20%,Yes,247038,143,Bread,105516,Yes,Shared Taxi,2,77,0,Yes,40%,306941,31437,Yes,Yes,Yes,No,6370,25000,Food,Yes,No,Climate change / Poor harvests,2024
RESP_0474,Self-employed/Entrepreneur,Master's Degree,35-44,Garoua,"250,001 - 500,000 XAF",6,Often,20% - 40%,Yes,159548,37,Plantains/Cassava,53196,Yes,Bus / Coaster,12,59,1,Yes,32%,114701,19784,No,No,Yes,No,18120,0,Healthcare,Yes,Yes,Government taxes,2024
RESP_0475,Student,Master's Degree,18-24,Douala,"50,000 - 100,000 XAF",1,Never,Above 60%,Yes,41164,49,Plantains/Cassava,14220,No,Shared Taxi,13,88,3+,Yes,26%,19962,15419,No,No,Yes,No,43745,0,Housing/Rent,Yes,No,Government taxes,2023
RESP_0476,Student,Master's Degree,45-54,Yaoundé,"250,001 - 500,000 XAF",2,Never,41% - 60%,Yes,158160,32,Cooking Oil,52060,Yes,Shared Taxi,3,31,1,Yes,37%,132058,16867,Yes,No,Yes,Yes,38056,50000,Transportation,Yes,Yes,Government taxes,2021
RESP_0477,Self-employed/Entrepreneur,High School / Baccalauréat,25-34,Maroua,"Under 50,000 XAF",2,Rarely,20% - 40%,Yes,13383,112,Onions/Tomato,9389,Yes,Personal Car,8,82,0,Yes,27%,10965,13258,No,No,Yes,No,30827,50000,Housing/Rent,Yes,Yes,Local currency depreciation,2025
RESP_0478,Unemployed,High School / Baccalauréat,35-44,Bafoussam,"250,001 - 500,000 XAF",3,Rarely,Under 20%,No,178253,141,Onions/Tomato,82526,Yes,Personal Car,13,78,1,No,32%,113044,13837,Yes,Yes,Yes,No,40839,350000,Education,Yes,No,Government taxes,2022
RESP_0479,Retired,Bachelor's Degree,45-54,Bafoussam,"100,001 - 250,000 XAF",1,Never,Under 20%,Yes,54043,32,Meat/Fish,26013,Yes,Bus / Coaster,13,45,1,Yes,0%,0,17786,No,Yes,Yes,No,5006,50000,Utilities (Water/Electricity),Unsure,Yes,Climate change / Poor harvests,2023
RESP_0480,Self-employed/Entrepreneur,PhD / Doctorate,35-44,Bafoussam,"Under 50,000 XAF",6,Rarely,41% - 60%,Yes,18022,59,Cooking Oil,8859,Yes,Shared Taxi,14,34,1,No,0%,0,26061,Yes,No,Yes,No,38611,350000,Utilities (Water/Electricity),Yes,Yes,Fuel price hikes,2024
RESP_0481,Student,Master's Degree,25-34,Douala,"100,001 - 250,000 XAF",7,Always,20% - 40%,Yes,89287,49,Bread,38352,Yes,Shared Taxi,14,60,0,Yes,27%,49051,28284,Yes,No,Yes,No,18245,600000,Utilities (Water/Electricity),Yes,Yes,Local currency depreciation,2023
RESP_0482,Employed part-time,PhD / Doctorate,45-54,Buea,"500,001 - 1,000,000 XAF",7,Sometimes,Under 20%,Yes,379137,56,Meat/Fish,126747,No,Bus / Coaster,5,90,1,Yes,42%,317019,5673,No,No,Yes,Yes,14548,600000,Food,Yes,Yes,Global market crisis / Import costs,2023
RESP_0483,Employed full-time,PhD / Doctorate,55+,Garoua,"Above 1,000,000 XAF",1,Rarely,Under 20%,No,390595,133,Meat/Fish,147955,Yes,Personal Car,12,48,2,Yes,42%,320574,10910,Yes,Yes,Yes,No,49859,150000,Food,Yes,No,Global market crisis / Import costs,2023
RESP_0484,Student,Primary School,18-24,Garoua,"Above 1,000,000 XAF",5,Always,41% - 60%,No,263059,60,Meat/Fish,98962,No,Personal Car,8,45,0,Yes,44%,336924,34455,No,No,No,No,21605,0,Education,Yes,Yes,Government taxes,2025
RESP_0485,Unemployed,Bachelor's Degree,25-34,Bafoussam,"250,001 - 500,000 XAF",7,Never,Under 20%,Yes,127276,86,Meat/Fish,63784,Yes,Personal Car,9,36,0,Yes,0%,0,6507,No,No,Yes,No,27196,50000,Transportation,Yes,Yes,Fuel price hikes,2024
RESP_0486,Employed full-time,Secondary School,18-24,Maroua,"Above 1,000,000 XAF",1,Sometimes,20% - 40%,Yes,390374,142,Rice,164537,Yes,Moto-taxi,5,32,0,No,21%,158301,34100,No,Yes,Yes,No,49715,0,Healthcare,Yes,No,Global market crisis / Import costs,2023
RESP_0487,Employed part-time,Master's Degree,55+,Kribi,"100,001 - 250,000 XAF",1,Often,20% - 40%,No,54092,122,Cooking Oil,25624,Yes,Moto-taxi,14,94,2,Yes,28%,50876,30079,Yes,No,No,No,43372,0,Utilities (Water/Electricity),Yes,No,Global market crisis / Import costs,2023
RESP_0488,Employed part-time,Primary School,45-54,Bafoussam,"500,001 - 1,000,000 XAF",1,Sometimes,41% - 60%,No,345556,53,Cooking Oil,88146,Yes,Moto-taxi,2,40,2,Yes,34%,258342,11137,Yes,No,Yes,Yes,22206,350000,Transportation,Yes,No,Local currency depreciation,2020
RESP_0489,Student,Bachelor's Degree,45-54,Bafoussam,"50,000 - 100,000 XAF",7,Often,Above 60%,Yes,31480,127,Onions/Tomato,8682,Yes,Moto-taxi,11,25,1,Yes,34%,26103,14309,Yes,Yes,Yes,Yes,49280,350000,Housing/Rent,Yes,Yes,Government taxes,2022
RESP_0490,Employed part-time,Bachelor's Degree,35-44,Garoua,"Under 50,000 XAF",2,Always,Under 20%,Yes,14996,81,Rice,9851,Yes,Moto-taxi,10,29,1,Yes,35%,14039,17912,Yes,Yes,Yes,Yes,42011,150000,Healthcare,No,Yes,Global market crisis / Import costs,2020
RESP_0491,Student,PhD / Doctorate,55+,Bamenda,"500,001 - 1,000,000 XAF",8,Rarely,20% - 40%,Yes,241941,94,Plantains/Cassava,94322,Yes,Moto-taxi,2,47,0,Yes,35%,268161,13328,Yes,No,No,No,22672,150000,Food,Yes,Yes,Climate change / Poor harvests,2023
RESP_0492,Student,Secondary School,25-34,Buea,"50,000 - 100,000 XAF",8,Sometimes,Above 60%,Yes,39586,92,Meat/Fish,17671,Yes,Moto-taxi,13,40,2,Yes,29%,22277,11487,Yes,Yes,Yes,No,15770,350000,Housing/Rent,Yes,No,Climate change / Poor harvests,2023
RESP_0493,Employed full-time,Bachelor's Degree,25-34,Bafoussam,"Above 1,000,000 XAF",8,Never,20% - 40%,Yes,438317,121,Onions/Tomato,131832,Yes,Shared Taxi,14,22,0,No,33%,253602,22058,No,Yes,Yes,No,7242,25000,Education,Yes,Yes,Government taxes,2024
RESP_0494,Employed part-time,Primary School,35-44,Bamenda,"250,001 - 500,000 XAF",6,Rarely,Under 20%,Yes,186377,106,Plantains/Cassava,80829,Yes,Shared Taxi,9,28,1,Yes,34%,119901,7034,No,Yes,Yes,No,40469,150000,Education,Yes,No,Government taxes,2020
RESP_0495,Student,High School / Baccalauréat,18-24,Bamenda,"100,001 - 250,000 XAF",5,Always,20% - 40%,Yes,58118,114,Rice,38500,Yes,Moto-taxi,13,53,2,Yes,32%,59123,16319,No,Yes,Yes,No,37466,0,Housing/Rent,Yes,No,Government taxes,2023
RESP_0496,Employed part-time,Primary School,45-54,Douala,"Under 50,000 XAF",4,Never,Under 20%,Yes,22784,98,Meat/Fish,8271,Yes,Moto-taxi,4,47,2,Yes,31%,12675,30895,Yes,Yes,Yes,Yes,17967,600000,Housing/Rent,Yes,No,Fuel price hikes,2025
RESP_0497,Employed full-time,PhD / Doctorate,55+,Bamenda,"Above 1,000,000 XAF",5,Always,20% - 40%,Yes,258041,80,Rice,97594,Yes,Bus / Coaster,4,70,0,Yes,0%,0,16501,No,No,Yes,No,40590,150000,Food,Yes,Yes,Local currency depreciation,2021
RESP_0498,Employed part-time,Master's Degree,25-34,Kribi,"50,000 - 100,000 XAF",5,Often,Above 60%,Yes,27976,37,Bread,7705,Yes,Shared Taxi,2,77,0,Yes,23%,17353,24701,Yes,Yes,Yes,No,37312,350000,Housing/Rent,Yes,No,Government taxes,2022
RESP_0499,Student,High School / Baccalauréat,18-24,Kribi,"250,001 - 500,000 XAF",2,Rarely,Under 20%,Yes,136845,100,Meat/Fish,44707,Yes,Bus / Coaster,5,32,2,Yes,35%,122792,13804,No,No,Yes,No,34088,600000,Healthcare,Yes,No,Fuel price hikes,2021
RESP_0500,Employed full-time,High School / Baccalauréat,25-34,Douala,"Above 1,000,000 XAF",2,Rarely,20% - 40%,Yes,238992,102,Rice,128436,Yes,Personal Car,11,35,1,Yes,42%,318922,26579,Yes,No,Yes,No,4731,0,Healthcare,Yes,Yes,Global market crisis / Import costs,2020
RESP_0501,Unemployed,Bachelor's Degree,25-34,Douala,"Under 50,000 XAF",5,Never,Under 20%,Yes,23422,86,Cooking Oil,5640,Yes,Bus / Coaster,3,94,0,Yes,35%,14086,14131,Yes,No,No,No,29419,600000,Education,Yes,No,Fuel price hikes,2022
RESP_0502,Retired,Master's Degree,55+,Buea,"50,000 - 100,000 XAF",7,Sometimes,Under 20%,No,37674,88,Meat/Fish,13011,Yes,Bus / Coaster,6,49,1,Yes,20%,15354,20031,No,Yes,No,No,29378,0,Food,Yes,No,Global market crisis / Import costs,2025
RESP_0503,Employed full-time,Bachelor's Degree,25-34,Bafoussam,"50,000 - 100,000 XAF",5,Often,Under 20%,Yes,43078,95,Meat/Fish,12910,Yes,Moto-taxi,12,17,2,Yes,0%,0,5950,No,No,Yes,No,41610,350000,Food,Yes,Yes,Government taxes,2023
RESP_0504,Unemployed,Bachelor's Degree,25-34,Bafoussam,"Under 50,000 XAF",1,Rarely,Under 20%,Yes,12135,94,Bread,6809,Yes,Moto-taxi,3,34,1,Yes,0%,0,6004,No,No,Yes,No,26810,0,Education,Yes,Yes,Fuel price hikes,2020
RESP_0505,Self-employed/Entrepreneur,Primary School,25-34,Bafoussam,"50,000 - 100,000 XAF",8,Sometimes,20% - 40%,No,30680,140,Onions/Tomato,17477,Yes,Bus / Coaster,7,27,3+,Yes,43%,32606,5066,No,No,Yes,No,38629,600000,Food,Yes,No,Local currency depreciation,2024
RESP_0506,Unemployed,PhD / Doctorate,55+,Buea,"50,000 - 100,000 XAF",4,Always,Under 20%,No,35713,101,Cooking Oil,8534,Yes,Shared Taxi,5,20,2,Yes,22%,16870,34091,No,No,Yes,Yes,44319,0,Transportation,Yes,No,Local currency depreciation,2025
RESP_0507,Retired,High School / Baccalauréat,55+,Yaoundé,"100,001 - 250,000 XAF",5,Always,Under 20%,Yes,88624,75,Plantains/Cassava,39767,Yes,Shared Taxi,5,31,2,Yes,37%,68012,22345,Yes,Yes,Yes,No,33727,0,Transportation,Yes,Yes,Climate change / Poor harvests,2024
RESP_0508,Employed part-time,Bachelor's Degree,35-44,Bamenda,"500,001 - 1,000,000 XAF",3,Rarely,41% - 60%,Yes,351199,149,Onions/Tomato,186207,Yes,Bus / Coaster,5,55,0,No,38%,289815,32970,No,No,No,No,40996,350000,Food,Unsure,No,Fuel price hikes,2021
RESP_0509,Employed part-time,Primary School,18-24,Yaoundé,"50,000 - 100,000 XAF",3,Sometimes,20% - 40%,No,35595,119,Meat/Fish,10294,Yes,Bus / Coaster,7,41,3+,Yes,34%,25630,28765,Yes,Yes,Yes,No,15464,350000,Education,Yes,No,Fuel price hikes,2023
RESP_0510,Employed full-time,High School / Baccalauréat,55+,Bamenda,"250,001 - 500,000 XAF",6,Never,20% - 40%,Yes,147975,76,Meat/Fish,62533,Yes,Personal Car,7,36,1,Yes,0%,0,5428,No,Yes,Yes,No,6210,0,Education,Yes,No,Government taxes,2022
RESP_0511,Unemployed,Master's Degree,45-54,Garoua,"100,001 - 250,000 XAF",4,Often,20% - 40%,Yes,76464,39,Rice,39844,Yes,Shared Taxi,2,59,1,Yes,0%,0,17822,Yes,No,Yes,No,15308,0,Healthcare,Yes,Yes,Fuel price hikes,2021
RESP_0512,Employed full-time,Primary School,18-24,Kribi,"Above 1,000,000 XAF",5,Always,41% - 60%,No,345819,112,Meat/Fish,120136,Yes,Moto-taxi,4,76,3+,Yes,37%,282361,11004,No,No,Yes,No,33235,0,Food,Yes,Yes,Global market crisis / Import costs,2022
RESP_0513,Retired,PhD / Doctorate,35-44,Douala,"Above 1,000,000 XAF",8,Sometimes,41% - 60%,No,416682,68,Plantains/Cassava,98473,Yes,Personal Car,7,37,0,Yes,36%,273548,12557,No,No,Yes,No,40482,600000,Food,Unsure,Yes,Local currency depreciation,2024
RESP_0514,Self-employed/Entrepreneur,High School / Baccalauréat,35-44,Douala,"50,000 - 100,000 XAF",1,Always,Above 60%,Yes,41318,80,Bread,9710,Yes,Bus / Coaster,8,45,1,Yes,37%,27983,13139,No,Yes,Yes,No,45442,0,Transportation,Yes,Yes,Local currency depreciation,2021
RESP_0515,Self-employed/Entrepreneur,Bachelor's Degree,25-34,Buea,"Under 50,000 XAF",1,Never,Under 20%,Yes,12896,117,Bread,7004,Yes,Moto-taxi,10,76,3+,Yes,22%,9142,15942,Yes,No,No,No,13404,0,Healthcare,Unsure,No,Government taxes,2025
RESP_0516,Self-employed/Entrepreneur,Primary School,45-54,Maroua,"50,000 - 100,000 XAF",5,Often,20% - 40%,Yes,41607,75,Cooking Oil,12535,Yes,Moto-taxi,8,88,0,Yes,40%,30673,10214,Yes,No,Yes,Yes,22234,50000,Utilities (Water/Electricity),Yes,No,Global market crisis / Import costs,2023
RESP_0517,Retired,High School / Baccalauréat,25-34,Garoua,"50,000 - 100,000 XAF",8,Rarely,41% - 60%,Yes,33453,102,Plantains/Cassava,11574,Yes,Shared Taxi,12,57,2,Yes,0%,0,14539,Yes,Yes,No,No,23168,350000,Utilities (Water/Electricity),No,No,Fuel price hikes,2020
RESP_0518,Unemployed,Master's Degree,18-24,Bamenda,"Under 50,000 XAF",8,Always,Above 60%,Yes,21434,39,Plantains/Cassava,9000,No,Moto-taxi,8,47,2,Yes,0%,0,11487,No,Yes,Yes,No,44842,150000,Food,Yes,No,Local currency depreciation,2024
RESP_0519,Self-employed/Entrepreneur,High School / Baccalauréat,55+,Maroua,"250,001 - 500,000 XAF",1,Sometimes,Under 20%,Yes,161910,81,Meat/Fish,76312,Yes,Bus / Coaster,2,40,0,Yes,27%,97912,13573,No,No,Yes,Yes,42144,0,Housing/Rent,Unsure,Yes,Local currency depreciation,2022
RESP_0520,Employed full-time,Bachelor's Degree,25-34,Garoua,"Above 1,000,000 XAF",7,Often,41% - 60%,Yes,293369,120,Rice,153092,No,Shared Taxi,9,61,1,Yes,41%,308892,10288,No,No,Yes,Yes,27890,25000,Food,Yes,Yes,Government taxes,2020
RESP_0521,Employed part-time,High School / Baccalauréat,35-44,Maroua,"50,000 - 100,000 XAF",4,Sometimes,41% - 60%,No,44219,24,Bread,16137,Yes,Moto-taxi,12,63,1,Yes,42%,31666,25600,No,Yes,No,No,29852,0,Housing/Rent,Yes,No,Fuel price hikes,2023
RESP_0522,Unemployed,Bachelor's Degree,45-54,Garoua,"Under 50,000 XAF",8,Often,Above 60%,Yes,18671,68,Cooking Oil,6459,Yes,Bus / Coaster,4,90,3+,Yes,30%,12303,23169,No,Yes,No,No,35081,0,Healthcare,Unsure,Yes,Local currency depreciation,2024
RESP_0523,Employed part-time,Secondary School,18-24,Buea,"50,000 - 100,000 XAF",5,Rarely,Under 20%,No,39615,49,Cooking Oil,15163,Yes,Personal Car,10,73,2,No,0%,0,21670,Yes,Yes,Yes,No,3104,600000,Housing/Rent,Yes,Yes,Local currency depreciation,2023
RESP_0524,Retired,Primary School,18-24,Kribi,"100,001 - 250,000 XAF",7,Rarely,41% - 60%,Yes,68583,112,Rice,20343,Yes,Bus / Coaster,4,48,2,Yes,35%,63027,9239,No,Yes,No,No,42985,350000,Education,Yes,No,Local currency depreciation,2022
RESP_0525,Employed part-time,PhD / Doctorate,35-44,Yaoundé,"Under 50,000 XAF",2,Always,Under 20%,Yes,13277,107,Rice,4522,Yes,Shared Taxi,5,79,1,Yes,0%,0,21628,Yes,No,Yes,No,33893,50000,Transportation,Yes,No,Government taxes,2021
RESP_0526,Employed part-time,High School / Baccalauréat,18-24,Yaoundé,"250,001 - 500,000 XAF",8,Sometimes,41% - 60%,No,142871,123,Rice,65515,Yes,Shared Taxi,13,46,1,Yes,22%,78166,24866,No,Yes,No,No,49528,25000,Housing/Rent,No,Yes,Fuel price hikes,2023
RESP_0527,Employed part-time,PhD / Doctorate,18-24,Yaoundé,"250,001 - 500,000 XAF",8,Sometimes,41% - 60%,Yes,152456,95,Bread,80200,Yes,Moto-taxi,7,31,1,Yes,0%,0,23376,No,No,Yes,No,25576,350000,Utilities (Water/Electricity),Yes,Yes,Government taxes,2023
RESP_0528,Student,PhD / Doctorate,18-24,Garoua,"250,001 - 500,000 XAF",2,Never,Under 20%,No,158129,112,Rice,86367,No,Bus / Coaster,9,67,1,No,22%,79548,11547,Yes,No,No,No,12054,0,Food,No,No,Local currency depreciation,2022
RESP_0529,Self-employed/Entrepreneur,Primary School,18-24,Bamenda,"50,000 - 100,000 XAF",6,Rarely,41% - 60%,No,31737,30,Onions/Tomato,10703,Yes,Shared Taxi,6,40,0,No,40%,30600,18473,Yes,No,Yes,Yes,41330,600000,Food,Unsure,Yes,Local currency depreciation,2025
RESP_0530,Employed full-time,High School / Baccalauréat,18-24,Douala,"500,001 - 1,000,000 XAF",3,Always,41% - 60%,Yes,296360,112,Plantains/Cassava,152647,Yes,Moto-taxi,3,18,1,Yes,0%,0,31789,No,Yes,Yes,No,38722,50000,Healthcare,Yes,Yes,Climate change / Poor harvests,2023
RESP_0531,Retired,High School / Baccalauréat,35-44,Douala,"50,000 - 100,000 XAF",5,Sometimes,Above 60%,Yes,29321,90,Bread,16657,Yes,Bus / Coaster,6,78,0,No,29%,22398,19102,No,No,Yes,No,25963,600000,Transportation,Yes,Yes,Government taxes,2021
RESP_0532,Self-employed/Entrepreneur,High School / Baccalauréat,25-34,Bafoussam,"500,001 - 1,000,000 XAF",7,Often,Above 60%,Yes,421531,102,Rice,132541,Yes,Bus / Coaster,3,85,3+,Yes,29%,221996,30720,Yes,Yes,Yes,No,17640,600000,Housing/Rent,Unsure,Yes,Climate change / Poor harvests,2024
RESP_0533,Student,PhD / Doctorate,55+,Bamenda,"Under 50,000 XAF",6,Often,Above 60%,Yes,22364,41,Plantains/Cassava,4734,Yes,Personal Car,3,27,0,Yes,23%,9589,21009,No,No,Yes,No,13551,150000,Healthcare,Yes,Yes,Fuel price hikes,2022
